Date,Rank,Title,gross,theaters,per_theater,total_gross,Genres,Original Language,Director,Release Date (Theator),Runtime,Distributor,Prod Co.,Box Office (Gross USA)
2020/1/3,1,Star Wars: The Rise of Skywalker,"$46,053,249","4,406","$10,452","$463,110,690","Sci-fi, Adventure, Action, Fantasy",English,J.J. Abrams,"Dec 20, 2019",2h 22m,Walt Disney,"Lucasfilm Ltd., Bad Robot",$515.2M
2020/1/3,2,Jumanji: The Next Level,"$33,418,576","4,134","$8,084","$243,124,981","Adventure, Action, Comedy, Fantasy",English,Jake Kasdan,"Dec 13, 2019",2h 3m,"Columbia Pictures, Sony Pictures Entertainment","Matt Tolmach Productions, The Detective Agency, Seven Bucks Productions",$316.8M
2020/1/3,3,Little Women,"$19,932,677","3,308","$6,026","$66,381,009","Drama, Musical",English,William Corrigan,,1h 10m,,CBS,
2020/1/3,4,Frozen II,"$15,037,678","3,175","$4,736","$453,623,042","Kids & family, Musical, Comedy, Adventure, Animation",English,"Chris Buck, Jennifer Lee","Nov 22, 2019",1h 43m,Walt Disney,"Walt Disney Pictures, Walt Disney Animation",$477.4M
2020/1/3,5,The Grudge,"$14,406,715","2,642","$5,453","$14,406,715","Horror, Mystery & thriller",English,Takashi Shimizu,"Oct 22, 2004",1h 30m,Sony Pictures Entertainment,"Senator International, Ghost House Pictures",$110.2M
2020/1/3,6,Spies in Disguise,"$12,862,468","3,502","$3,673","$49,508,429","Kids & family, Comedy, Adventure, Action, Animation",English,"Troy Quane, Nick Bruno","Dec 25, 2019",1h 42m,20th Century Fox,"Twentieth Century Fox Animation, Chernin Entertainment, Blue Sky Studios",$66.7M
2020/1/3,7,Knives Out,"$12,693,710","2,142","$5,926","$133,896,744","Mystery & thriller, Comedy, Drama",English,Rian Johnson,"Nov 27, 2019",2h 10m,Lionsgate Films,"FilmNation Entertainment, Media Rights Capital",$165.4M
2020/1/3,8,Uncut Gems,"$10,980,493","2,686","$4,088","$39,966,672","Mystery & thriller, Comedy",English,"Benny Safdie, Josh Safdie","Dec 25, 2019",2h 15m,A24,"Elara Pictures, Sikelia Productions, Scott Rudin Productions",$50.0M
2020/1/3,9,Bombshell,"$5,942,307","1,721","$3,453","$26,448,223",Sci-fi,English,Paul Wynne,,1h 36m,,,
2020/1/3,10,Cats,"$3,748,490","2,902","$1,292","$25,839,425",Musical,English (United Kingdom),David Mallet,,2h 0m,,,
2020/1/3,11,Richard Jewell,"$2,391,961","1,870","$1,279","$21,830,277",Drama,English,Clint Eastwood,"Dec 13, 2019",2h 11m,Warner Bros. Pictures,"Canadian Film or Video Production Tax Credit (CPTC), Appian Way, 75 Year Plan Productions, Misher Films",$22.3M
2020/1/3,12,Ford v. Ferrari,"$2,385,765",730,"$3,268","$110,655,605","History, Drama, Biography",English,James Mangold,"Nov 15, 2019",2h 32m,20th Century Fox,"Chernin Entertainment, 20th Century Fox",$117.6M
2020/1/3,13,A Beautiful Day in the Neighborhood,"$1,829,346",856,"$2,137","$59,408,011","Biography, Drama",English,Marielle Heller,"Nov 22, 2019",1h 47m,"TriStar Pictures, Sony Pictures Entertainment","Big Beach, TriStar Pictures",$61.7M
2020/1/3,14,Queen & Slim,"$1,611,535",625,"$2,578","$43,106,305","Crime, Drama, Romance",English,Melina Matsoukas,"Nov 27, 2019",2h 12m,Universal Pictures,,$43.8M
2020/1/3,15,Parasite,"$1,390,119",222,"$6,262","$24,402,732","Horror, Sci-fi",English,,,1h 30m,,,
