ranks,titles,index,gross,theaters,per_theater,total_gross
1,Star Wars: The Rise of Skywalker,2,"$46,053,249","4,406","$10,452","$463,110,690"
2,Jumanji: The Next Level,2,"$33,418,576","4,134","$8,084","$243,124,981"
3,Little Women,2,"$19,932,677","3,308","$6,026","$66,381,009"
4,Frozen II,2,"$15,037,678","3,175","$4,736","$453,623,042"
5,The Grudge,2,"$14,406,715","2,642","$5,453","$14,406,715"
6,Spies in Disguise,2,"$12,862,468","3,502","$3,673","$49,508,429"
7,Knives Out,2,"$12,693,710","2,142","$5,926","$133,896,744"
8,Uncut Gems,2,"$10,980,493","2,686","$4,088","$39,966,672"
9,Bombshell,2,"$5,942,307","1,721","$3,453","$26,448,223"
10,Cats,2,"$3,748,490","2,902","$1,292","$25,839,425"
11,Richard Jewell,2,"$2,391,961","1,870","$1,279","$21,830,277"
12,Ford v. Ferrari,2,"$2,385,765",730,"$3,268","$110,655,605"
13,A Beautiful Day in the Neighborhood,2,"$1,829,346",856,"$2,137","$59,408,011"
14,Queen & Slim,2,"$1,611,535",625,"$2,578","$43,106,305"
15,Parasite,2,"$1,390,119",222,"$6,262","$24,402,732"
16,1917,2,"$1,031,412",11,"$93,765","$2,721,279"
17,IP Man: The Finale,2,"$979,446",70,"$13,992","$3,177,068"
18,21 Bridges,2,"$545,019",476,"$1,145","$28,418,457"
19,Jojo Rabbit,2,"$537,573",209,"$2,572","$21,772,387"
20,A Hidden Life,2,"$394,588",151,"$2,613","$1,407,417"
1,1917,9,"$51,895,705","3,434","$15,112","$54,616,984"
2,Star Wars: The Rise of Skywalker,9,"$20,535,111","4,279","$4,799","$483,645,801"
3,Jumanji: The Next Level,9,"$17,787,994","3,904","$4,556","$260,912,975"
4,Just Mercy,9,"$13,176,655","2,375","$5,548","$13,612,643"
5,Like a Boss,9,"$13,083,588","3,078","$4,251","$13,083,588"
6,Little Women,9,"$12,110,043","3,216","$3,766","$78,491,052"
7,Underwater,9,"$9,220,707","2,791","$3,304","$9,220,707"
8,Knives Out,9,"$7,780,643","2,060","$3,777","$141,677,387"
9,Frozen II,9,"$7,528,648","2,655","$2,836","$461,151,690"
10,Spies in Disguise,9,"$6,318,438","2,671","$2,366","$55,826,867"
11,Uncut Gems,9,"$4,961,927","2,081","$2,384","$44,928,599"
12,The Grudge,9,"$4,725,926","2,642","$1,789","$19,132,641"
13,Weathering With You,9,"$3,046,250","1,020","$2,987","$3,046,250"
14,Bombshell,9,"$2,216,685","1,289","$1,720","$28,664,908"
15,Parasite,9,"$1,585,913",345,"$4,597","$25,988,645"
16,Ford v. Ferrari,9,"$1,154,783",567,"$2,037","$111,810,388"
17,Cats,9,"$808,410",818,$988,"$26,647,835"
18,A Beautiful Day in the Neighborhood,9,"$795,838",519,"$1,533","$60,203,849"
19,Queen & Slim,9,"$542,105",442,"$1,226","$43,648,410"
20,IP Man: The Finale,9,"$469,151",119,"$3,942","$3,646,219"
1,Bad Boys For Life,16,"$86,644,165","3,775","$22,952","$86,644,165"
2,1917,16,"$33,466,325","3,612","$9,265","$88,083,309"
3,Dolittle,16,"$32,184,730","4,155","$7,746","$32,184,730"
4,Jumanji: The Next Level,16,"$14,632,825","3,323","$4,403","$275,545,800"
