Date,Rank,Movie Title,Weekly Gross,Cumulative Gross,Genre,Original Language,Director,Release Date,Total Gross,Runtime,Distributor,Prod Co.
2020/1/3,1,Star Wars: The Rise of Skywalker,"$46,053,249","$463,110,690","Sci-fi, Adventure, Action, Fantasy",English,J.J. Abrams,"Dec 20, 2019",$515.2M,2h 22m,Walt Disney,"Lucasfilm Ltd., Bad Robot"
2020/1/3,2,Jumanji: The Next Level,"$33,418,576","$243,124,981","Adventure, Action, Comedy, Fantasy",English,Jake Kasdan,"Dec 13, 2019",$316.8M,2h 3m,"Columbia Pictures, Sony Pictures Entertainment","Matt Tolmach Productions, The Detective Agency, Seven Bucks Productions"
2020/1/3,3,Little Women,"$19,932,677","$66,381,009","Drama, Musical",English,William Corrigan,,,1h 10m,,CBS
2020/1/3,4,Frozen II,"$15,037,678","$453,623,042","Kids & family, Musical, Comedy, Adventure, Animation",English,"Chris Buck, Jennifer Lee","Nov 22, 2019",$477.4M,1h 43m,Walt Disney,"Walt Disney Pictures, Walt Disney Animation"
2020/1/3,5,The Grudge,"$14,406,715","$14,406,715","Horror, Mystery & thriller",English,Takashi Shimizu,"Oct 22, 2004",$110.2M,1h 30m,Sony Pictures Entertainment,"Senator International, Ghost House Pictures"
2020/1/3,6,Spies in Disguise,"$12,862,468","$49,508,429","Kids & family, Comedy, Adventure, Action, Animation",English,"Troy Quane, Nick Bruno","Dec 25, 2019",$66.7M,1h 42m,20th Century Fox,"Twentieth Century Fox Animation, Chernin Entertainment, Blue Sky Studios"
2020/1/3,7,Knives Out,"$12,693,710","$133,896,744","Mystery & thriller, Comedy, Drama",English,Rian Johnson,"Nov 27, 2019",$165.4M,2h 10m,Lionsgate Films,"FilmNation Entertainment, Media Rights Capital"
2020/1/3,8,Uncut Gems,"$10,980,493","$39,966,672","Mystery & thriller, Comedy",English,"Benny Safdie, Josh Safdie","Dec 25, 2019",$50.0M,2h 15m,A24,"Elara Pictures, Sikelia Productions, Scott Rudin Productions"
2020/1/3,9,Bombshell,"$5,942,307","$26,448,223",Sci-fi,English,Paul Wynne,,,1h 36m,,
2020/1/3,10,Cats,"$3,748,490","$25,839,425",Musical,English (United Kingdom),David Mallet,,,2h 0m,,
2020/1/3,11,Richard Jewell,"$2,391,961","$21,830,277",Drama,English,Clint Eastwood,"Dec 13, 2019",$22.3M,2h 11m,Warner Bros. Pictures,"Canadian Film or Video Production Tax Credit (CPTC), Appian Way, 75 Year Plan Productions, Misher Films"
2020/1/3,12,Ford v. Ferrari,"$2,385,765","$110,655,605","History, Drama, Biography",English,James Mangold,"Nov 15, 2019",$117.6M,2h 32m,20th Century Fox,"Chernin Entertainment, 20th Century Fox"
2020/1/3,13,A Beautiful Day in the Neighborhood,"$1,829,346","$59,408,011","Biography, Drama",English,Marielle Heller,"Nov 22, 2019",$61.7M,1h 47m,"TriStar Pictures, Sony Pictures Entertainment","Big Beach, TriStar Pictures"
2020/1/3,14,Queen & Slim,"$1,611,535","$43,106,305","Crime, Drama, Romance",English,Melina Matsoukas,"Nov 27, 2019",$43.8M,2h 12m,Universal Pictures,
2020/1/3,15,Parasite,"$1,390,119","$24,402,732","Horror, Sci-fi",English,,,,1h 30m,,
2020/1/3,16,1917,"$1,031,412","$2,721,279","War, History, Drama",English,Sam Mendes,"Jan 10, 2020",$159.2M,1h 59m,Universal Pictures,"Neal Street Productions, Amblin Entertainment"
2020/1/3,17,IP Man: The Finale,"$979,446","$3,177,068",Action,Chinese,Wilson Yip,"Dec 25, 2019",$4.0M,1h 45m,Well Go USA,"Bullet Films, Shanghai Bona Cultural Media, Mandarin Motion Pictures"
2020/1/3,18,21 Bridges,"$545,019","$28,418,457","Action, Mystery & thriller, Crime, Drama",English,Brian Kirk,"Nov 22, 2019",$28.5M,1h 39m,STX Films,"STX Entertainment, MWM"
2020/1/3,19,Jojo Rabbit,"$537,573","$21,772,387","Comedy, Drama",English,Taika Waititi,"Nov 8, 2019",$33.4M,1h 48m,Fox Searchlight,Unison Films
2020/1/3,20,A Hidden Life,"$394,588","$1,407,417",Drama,English,Terrence Malick,,,2h 52m,,"Elizabeth Bay Productions, Studio Babelsberg"
2020/1/10,1,1917,"$51,895,705","$54,616,984","War, History, Drama",English,Sam Mendes,"Jan 10, 2020",$159.2M,1h 59m,Universal Pictures,"Neal Street Productions, Amblin Entertainment"
2020/1/10,2,Star Wars: The Rise of Skywalker,"$20,535,111","$483,645,801","Sci-fi, Adventure, Action, Fantasy",English,J.J. Abrams,"Dec 20, 2019",$515.2M,2h 22m,Walt Disney,"Lucasfilm Ltd., Bad Robot"
2020/1/10,3,Jumanji: The Next Level,"$17,787,994","$260,912,975","Adventure, Action, Comedy, Fantasy",English,Jake Kasdan,"Dec 13, 2019",$316.8M,2h 3m,"Columbia Pictures, Sony Pictures Entertainment","Matt Tolmach Productions, The Detective Agency, Seven Bucks Productions"
2020/1/10,4,Just Mercy,"$13,176,655","$13,612,643",Drama,English,Destin Daniel Cretton,"Jan 10, 2020",$36.0M,2h 16m,Warner Bros. Pictures,Netter Productions
2020/1/10,5,Like a Boss,"$13,083,588","$13,083,588",Comedy,English,Miguel Arteta,"Jan 10, 2020",$22.1M,1h 23m,Paramount Pictures,Artists First
2020/1/10,6,Little Women,"$12,110,043","$78,491,052","Drama, Musical",English,William Corrigan,,,1h 10m,,CBS
2020/1/10,7,Underwater,"$9,220,707","$9,220,707","Drama, Adventure",English,John Sturges,,,1h 37m,,RKO Radio Pictures Inc.
2020/1/10,8,Knives Out,"$7,780,643","$141,677,387","Mystery & thriller, Comedy, Drama",English,Rian Johnson,"Nov 27, 2019",$165.4M,2h 10m,Lionsgate Films,"FilmNation Entertainment, Media Rights Capital"
2020/1/10,9,Frozen II,"$7,528,648","$461,151,690","Kids & family, Musical, Comedy, Adventure, Animation",English,"Chris Buck, Jennifer Lee","Nov 22, 2019",$477.4M,1h 43m,Walt Disney,"Walt Disney Pictures, Walt Disney Animation"
2020/1/10,10,Spies in Disguise,"$6,318,438","$55,826,867","Kids & family, Comedy, Adventure, Action, Animation",English,"Troy Quane, Nick Bruno","Dec 25, 2019",$66.7M,1h 42m,20th Century Fox,"Twentieth Century Fox Animation, Chernin Entertainment, Blue Sky Studios"
2020/1/10,11,Uncut Gems,"$4,961,927","$44,928,599","Mystery & thriller, Comedy",English,"Benny Safdie, Josh Safdie","Dec 25, 2019",$50.0M,2h 15m,A24,"Elara Pictures, Sikelia Productions, Scott Rudin Productions"
