,FCLTY_NM,EVENT_SDIV_NM,EVENT_NM,RENTLSPCE_BEGIN_DE,RENTLSPCE_END_DE,REQST_EVENT_NMPR_CO,EXCCLC_EVENT_NMPR_CO,ISE_ELSE_FLAG_NM,USE_DAY_CO,WEEKDAY_BEGIN,WEEKDAY_END,WEEKEND,HOLIDAY,YEAR_END,BEGIN_AVG_WEEKDAY,END_AVG_WEEKDAY,AVG_MONTH,년도,월,계절,텍스트,유사공연_가중평균
0,우리금융아트홀,문화예술행사,2012 공동주최 기획공연 뮤지컬 페임,2012-01-01,2012-01-29,19800,21363,내부,29,6,6,1,1,0,4671.767123,9046.74234,8519.324324,2012년,1월,겨울,우리금융아트홀 문화예술행사 2012 공동주최 기획공연 뮤지컬 페임 2012년 1월 겨울 내부,0
1,핸드볼경기장,체육행사,2012코리아배드민턴슈퍼시리즈 프리미어대회,2012-01-03,2012-01-08,7000,14957,내부,6,1,6,1,0,0,5544.786885,9046.74234,8519.324324,2012년,1월,겨울,핸드볼경기장 체육행사 2012코리아배드민턴슈퍼시리즈 프리미어대회 2012년 1월 겨울 내부,0
2,올림픽홀,대중공연,데미안 라이스 내한공연,2012-01-11,2012-01-11,3000,3000,내부,1,2,2,0,0,0,4465.204819,5102.242857,8519.324324,2012년,1월,겨울,올림픽홀 대중공연 데미안 라이스 내한공연 2012년 1월 겨울 내부,14957
3,올림픽홀,대중공연,아메바이펙트 콘서트,2012-01-27,2012-01-28,8500,5700,내부,2,4,5,1,0,0,9870.415686,3467.288401,8519.324324,2012년,1월,겨울,올림픽홀 대중공연 아메바이펙트 콘서트 2012년 1월 겨울 내부,8801.136446
4,KSPO DOME(체조경기장),문화예술행사,2011-12 브라운아이드소울 연말 콘서트,2012-01-28,2012-01-29,20000,16509,내부,2,5,6,1,0,0,6682.392273,9046.74234,8519.324324,2012년,1월,겨울,KSPO DOME(체조경기장) 문화예술행사 2011-12 브라운아이드소울 연말 콘서트 2012년 1월 겨울 내부,9132.724512
5,올림픽홀,대중공연,주다스프리스트내한공연,2012-02-04,2012-02-04,4300,4200,내부,1,5,5,1,0,0,6682.392273,3467.288401,5050.405063,2012년,2월,겨울,KSPO DOME(체조경기장) 문화예술행사 2012 BEAST CONCERT(비스트 콘서트) 2012년 2월 겨울 내부,12598.98085
6,KSPO DOME(체조경기장),문화예술행사,2012 BEAST CONCERT(비스트 콘서트),2012-02-04,2012-02-05,18000,18165,내부,2,5,6,1,0,0,6682.392273,9046.74234,5050.405063,2012년,2월,겨울,올림픽홀 대중공연 주다스프리스트내한공연 2012년 2월 겨울 내부,11937.52725
7,우리금융아트홀,문화예술행사,점프 공연,2012-02-08,2012-02-24,14800,13670,내부,17,2,4,0,0,0,4465.204819,2788.224138,5050.405063,2012년,2월,겨울,우리금융아트홀 문화예술행사 점프 공연 2012년 2월 겨울 내부,13088.12165
8,올림픽홀,대중공연,achime 단독콘서트,2012-02-11,2012-02-11,250,240,내부,1,5,5,1,0,0,6682.392273,3467.288401,5050.405063,2012년,2월,겨울,올림픽홀 대중공연 김광석 다시 부르기 콘서트 2012 2012년 2월 겨울 내부,9694.326906
9,올림픽홀,대중공연,김광석 다시 부르기 콘서트 2012,2012-02-11,2012-02-11,4000,3400,내부,1,5,5,1,0,0,6682.392273,3467.288401,5050.405063,2012년,2월,겨울,올림픽홀 대중공연 achime 단독콘서트 2012년 2월 겨울 내부,9546.584786
10,핸드볼경기장,문화예술행사,인피니트 첫번째 단독콘서트,2012-02-12,2012-02-12,88000,9440,내부,1,6,6,1,0,0,4671.767123,9046.74234,5050.405063,2012년,2월,겨울,핸드볼경기장 문화예술행사 인피니트 첫번째 단독콘서트 2012년 2월 겨울 내부,14237.78435
11,KSPO DOME(체조경기장),문화예술행사,카라 첫 번째 아시아투어 콘서트,2012-02-18,2012-02-19,16000,16876,내부,2,5,6,1,0,0,6682.392273,9046.74234,5050.405063,2012년,2월,겨울,KSPO DOME(체조경기장) 문화예술행사 카라 첫 번째 아시아투어 콘서트 2012년 2월 겨울 내부,12001.02396
12,올림픽홀,대중공연,마이 큐 단독 콘서트,2012-02-25,2012-02-25,240,190,내부,1,5,5,1,0,0,6682.392273,3467.288401,5050.405063,2012년,2월,겨울,올림픽홀 대중공연 마이 큐 단독 콘서트 2012년 2월 겨울 내부,3421.601336
13,우리금융아트홀,문화예술행사,뮤지컬 이육사 공연,2012-02-28,2012-03-04,4000,3670,내부,6,1,6,1,1,0,5544.786885,9046.74234,5050.405063,2012년,2월 3월,,우리금융아트홀 문화예술행사 뮤지컬 이육사 공연 2012년 2월 3월  내부,11593.07347
14,핸드볼경기장,문화예술행사,삼성카드 셀렉트 02 이승환콘서트,2012-02-29,2012-03-01,6600,7012,내부,2,2,3,0,1,0,4465.204819,3046.842105,5050.405063,2012년,2월 3월,,핸드볼경기장 문화예술행사 삼성카드 셀렉트 02 이승환콘서트 2012년 2월 3월  내부,11505.79077
15,KSPO DOME(체조경기장),문화예술행사,2012 BIGBANG GD 2ND LIVE CONCERT,2012-03-02,2012-03-04,33000,35028,내부,3,4,6,1,0,0,9870.415686,9046.74234,7098.186916,2012년,3월,봄,KSPO DOME(체조경기장) 문화예술행사 2012 BIGBANG GD 2ND LIVE CONCERT 2012년 3월 봄 내부,14004.98497
16,올림픽홀,대중공연,박재범 라이브 콘서트,2012-03-03,2012-03-03,3000,2500,내부,1,5,5,1,0,0,6682.392273,3467.288401,7098.186916,2012년,3월,봄,올림픽홀 대중공연 박재범 라이브 콘서트 2012년 3월 봄 내부,2745.574486
17,올림픽홀,대중공연,바비 맥퍼린 내한공연,2012-03-08,2012-03-08,2000,900,내부,1,3,3,0,0,0,15796.44595,3046.842105,7098.186916,2012년,3월,봄,올림픽홀 대중공연 바비 맥퍼린 내한공연 2012년 3월 봄 내부,2736.997245
18,올림픽홀,대중공연,옥상달빛&10cm 조인트 콘서트,2012-03-09,2012-03-11,790,720,내부,3,4,6,1,0,0,9870.415686,9046.74234,7098.186916,2012년,3월,봄,올림픽홀 대중공연 옥상달빛&10cm 조인트 콘서트 2012년 3월 봄 내부,2401.332841
19,KSPO DOME(체조경기장),문화예술행사,K-컬렉션 인 서울,2012-03-11,2012-03-11,15000,6000,내부,1,6,6,1,0,0,4671.767123,9046.74234,7098.186916,2012년,3월,봄,KSPO DOME(체조경기장) 문화예술행사 K-컬렉션 인 서울 2012년 3월 봄 내부,18984.52327
20,올림픽홀,대중공연,듀란듀란 라이브 콘서트,2012-03-12,2012-03-12,4000,1500,내부,1,0,0,0,0,0,4026.73913,19989.09615,7098.186916,2012년,3월,봄,올림픽홀 대중공연 듀란듀란 라이브 콘서트 2012년 3월 봄 내부,2597.995813
21,우리금융아트홀,대중공연,포맨 콘서트,2012-03-16,2012-03-18,3000,2388,내부,3,4,6,1,0,0,9870.415686,9046.74234,7098.186916,2012년,3월,봄,우리금융아트홀 대중공연 포맨 콘서트 2012년 3월 봄 내부,3114.527787
22,KSPO DOME(체조경기장),문화예술행사,그룹 신화 14주년기념 앨범 발매 콘서트,2012-03-24,2012-03-25,21000,20214,내부,2,5,6,1,0,0,6682.392273,9046.74234,7098.186916,2012년,3월,봄,KSPO DOME(체조경기장) 문화예술행사 그룹 신화 14주년기념 앨범 발매 콘서트 2012년 3월 봄 내부,18716.76948
23,올림픽홀,대중공연,신인그룹 EXO 데뷔 쇼케이스,2012-03-31,2012-03-31,2500,1900,내부,1,5,5,1,0,0,6682.392273,3467.288401,7098.186916,2012년,3월,봄,올림픽홀 대중공연 신인그룹 EXO 데뷔 쇼케이스 2012년 3월 봄 내부,2481.888812
24,KSPO DOME(체조경기장),문화예술행사,인피니트 앵콜 콘서트,2012-04-01,2012-04-01,10000,9318,내부,1,6,6,1,0,0,4671.767123,9046.74234,5306.733333,2012년,4월,봄,KSPO DOME(체조경기장) 문화예술행사 인피니트 앵콜 콘서트 2012년 4월 봄 내부,20543.32764
25,평화의광장,공공행사,2012 춘계 서울패션위크,2012-04-03,2012-04-07,86000,48732,외부,5,1,5,1,0,0,5544.786885,3467.288401,5306.733333,2012년,4월,봄,평화의광장 공공행사 2012 춘계 서울패션위크 2012년 4월 봄 외부,12749.57189
26,올림픽홀,대중공연,LMFAO 내한공연,2012-04-07,2012-04-07,3000,5000,내부,1,5,5,1,0,0,6682.392273,3467.288401,5306.733333,2012년,4월,봄,올림픽홀 대중공연 LMFAO 내한공연 2012년 4월 봄 내부,2827.173041
27,올림픽홀,대중공연,넬 컴백 콘서트,2012-04-14,2012-04-15,6000,5600,내부,2,5,6,1,0,0,6682.392273,9046.74234,5306.733333,2012년,4월,봄,올림픽홀 대중공연 넬 컴백 콘서트 2012년 4월 봄 내부,3200.717905
28,올림픽홀,대중공연,드림시어터내한공연,2012-04-19,2012-04-19,2500,1600,내부,1,3,3,0,0,0,15796.44595,3046.842105,5306.733333,2012년,4월,봄,올림픽홀 대중공연 드림시어터내한공연 2012년 4월 봄 내부,3909.165152
29,올림픽홀,대중공연,케이윌 콘서트,2012-04-21,2012-04-21,2800,2500,내부,1,5,5,1,0,0,6682.392273,3467.288401,5306.733333,2012년,4월,봄,올림픽홀 대중공연 케이윌 콘서트 2012년 4월 봄 내부,3401.548006
30,KSPO DOME(체조경기장),문화예술행사,올댓 스케이트 스프링 2012,2012-05-04,2012-05-06,30000,25652,내부,3,4,6,1,1,0,9870.415686,9046.74234,7317.985075,2012년,5월,봄,KSPO DOME(체조경기장) 문화예술행사 올댓 스케이트 스프링 2012 2012년 5월 봄 내부,19433.04904
31,핸드볼경기장,체육행사,제9회 회장배 전국댄스스포츠 선수권대회 및 WDSF International Open S&L,2012-05-06,2012-05-06,5000,2000,내부,1,6,6,1,0,0,4671.767123,9046.74234,7317.985075,2012년,5월,봄,핸드볼경기장 체육행사 제9회 회장배 전국댄스스포츠 선수권대회 및 WDSF International Open S&L 2012년 5월 봄 내부,8669.481583
