date,0,1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2018-12-01,,,,,,,,,,,,,,,"2018 박원 연말콘서트, god 20주년 기념 콘서트, 스트리머 뮤직 콘서트","2018 박원 연말콘서트, god 20주년 기념 콘서트, 스트리머 뮤직 콘서트",,,,,
2018-12-03,,,2018 김동률 콘서트,2018 김동률 콘서트,,,,,,,,,,,,,,,,,
2018-12-04,,,2018 김동률 콘서트,2018 김동률 콘서트,,,,,,,,,,,,,,,,,
2018-12-05,,,2018 김동률 콘서트,2018 김동률 콘서트,,,,,,,,,,,,,,,,,
2018-12-06,,,"연극 <그을린사랑>, 2018 김동률 콘서트","연극 <그을린사랑>, 2018 김동률 콘서트",,,,,,,,,,,,,,,,,
2018-12-07,"연극 <그을린사랑>, 2018 김동률 콘서트",,"연극 <그을린사랑>, 2018 김동률 콘서트","연극 <그을린사랑>, 2018 김동률 콘서트",,,,,,,,,,,,,"연극 <그을린사랑>, 2018 김동률 콘서트","연극 <그을린사랑>, 2018 김동률 콘서트",,,"연극 <그을린사랑>, 2018 김동률 콘서트"
2018-12-21,,,,,,,,,,,,,,,,,,,"윤주희 2집앨범 <Mother Nature> 발매 기념 쇼케이스, PSY CONCERT 올나잇스탠드 2018","윤주희 2집앨범 <Mother Nature> 발매 기념 쇼케이스, PSY CONCERT 올나잇스탠드 2018","윤주희 2집앨범 <Mother Nature> 발매 기념 쇼케이스, PSY CONCERT 올나잇스탠드 2018"
2018-12-22,,,"PSY CONCERT 올나잇스탠드 2018, 2018 태일 콘서트, 2017 케이윌 전국투어콘서트 <THE K.WILL> 서울 공연, 2018 박정현 콘서트 외 기획공연 대관 신청서, 박학기 콘서트 <계절학기>",,,,,,,,,,,,,,,,,,
2018-12-31,"2018 대한민국 이문세, 2018 김범수 연말 콘서트","2018 대한민국 이문세, 2018 김범수 연말 콘서트",,,,,,,,,,,,,,,,,,,
2019-01-19,,,,,,,,,,SHINSEGAE DUTY FREE 2019 Super Lucky Day with ASTRO ~New Beginning~,,,,,,,,,,,
2019-02-23,,,,,,,,,,,"언더나인틴 파이널 콘서트&팬타콘 팬미팅, 2019슈퍼스타 갈라콘서트, 2018∼2019 핸드볼코리아리그",,,,,,,,,,
2019-03-17,,,,,,"LA필하모닉 오케스트라 - 존 윌리엄스 영화음악 콘서트, 태민 2번째 콘서트, 2019서울국제마라톤 겸 제90회 동아마라톤","LA필하모닉 오케스트라 - 존 윌리엄스 영화음악 콘서트, 태민 2번째 콘서트, 2019서울국제마라톤 겸 제90회 동아마라톤",,,,,,,,,,,,,,
2019-04-13,,,,,,,,,,,,,"2019 뉴이스트 단독 콘서트, 몬스타엑스(MONSTA X) 2019 월드투어, SUPER JUNIOR D&E 단독 콘서트, 한국컴패션 꽃서트",,,,,,,,
2019-05-04,,,,,,,,,,,,,,,,,"2019 미스트롯 효 콘서트, 김희철 토크콘서트, 캐리TV 러브콘서트2019, 제29회 송파구청장기 배드민턴대회","2019 미스트롯 효 콘서트, 김희철 토크콘서트, 캐리TV 러브콘서트2019, 제29회 송파구청장기 배드민턴대회",,,
2019-05-11,,,,,,,,,"뷰티풀 민트 라이프 2019, 2019 신유 콘서트 “LOVE”",,,,,,,,,,,,
2019-05-25,,,,"2019 TWICE 단독 콘서트 (가제), 제13회 서울재즈페스티벌(Seoul Jazz Festival) 2019","2019 TWICE 단독 콘서트 (가제), 제13회 서울재즈페스티벌(Seoul Jazz Festival) 2019","2019 TWICE 단독 콘서트 (가제), 제13회 서울재즈페스티벌(Seoul Jazz Festival) 2019","2019 TWICE 단독 콘서트 (가제), 제13회 서울재즈페스티벌(Seoul Jazz Festival) 2019","2019 TWICE 단독 콘서트 (가제), 제13회 서울재즈페스티벌(Seoul Jazz Festival) 2019","2019 TWICE 단독 콘서트 (가제), 제13회 서울재즈페스티벌(Seoul Jazz Festival) 2019","2019 TWICE 단독 콘서트 (가제), 제13회 서울재즈페스티벌(Seoul Jazz Festival) 2019",,,,,,,,,,,
2019-06-08,,,,,,,,,,,"치어업! 코리아 오픈2019 치어리딩대회, 올댓 스케이트 2019 (All That Skate 2019)",,,,,,,,,,
